Location,Description
Anilao Beaches and Resorts,Anilao Beaches and Resorts Known as one of the best diving spots in the Philippines Anilao in Mabini Batangas is also home to many lovely beach resorts and a favorite among city dwellers wanting to have a quick escape from the hustle and bustle of the city It may not have white sandy beaches but its underwater ecosystem is its biggest tourist drawer More to that it also offers amazing sights nice beaches coves and islands as well as an array of fun and exciting water activities that you your family and friends will surely enjoy Due to its popularity Anilao has become the poster image of the municipality of Mabini It has become synonymous with the town it represents In reality however Anilao is just a barangay and many of the resorts that are often tagged ìAnilaoî are located in other nearby villages Tucked in the northern coast of Calumpang peninsula it is one of the areas in Batangas that underwent development ahead of others Regarded as the birthplace of scuba diving in the Philippines Anilaoís rich and colorful underwater scenery attracts visitors more than its shores Anilao is also a setting off point to other attractions including Sombrero Island and Masasa Beach in Tingloy the only island municipality of Batangas It is also the jump off point to Mt Gulugod Baboy a relatively easy hike perfect for trekking beginners Some hikers head to the beaches to take a refreshing swim after the climb Anilao is a resort destination popular on the weekends as a relaxing getaway for people from Manila Over the last decade it has also become a famous and popular diving destination in the Philippines and for good reason Anilao offers the best Macro Underwater Photography opportunities in the Philippines and is also one of the best places in the World to observe rare Critters and other strange small underwater creatures
Caleruega Church,Located in Batulao Brgy Kaylaway in Nasugbu Batangas Caleruega Church is a lovely chapel perched on top of a hill and surrounded by panoramic views of breathtaking scenery The chapel is quite small but has a beautiful architecture and a very peaceful ambiance As one of the most popular wedding churches near Tagaytay it is a charming and heavenly venue for a memorable wedding ceremony Click here for the mass schedules and how to get there Caleruega got its name from a town in Spain which was the birthplace of St Dominic de Guzman father of the Order of Preachers Known as one of the most popular wedding churches near Tagaytay it is actually in Nasugbu batangas the Caleruega Church is perfectly perched atop a hill Because it is surrounded by greenery needless to say Caleruega is promoted as a place that is close to nature and closer to God Its awesome landscape and breathtaking view made up of hills fields and the Batulao Mountains captivates every visitor The first thing that will greet you upon arriving here is the Cenaculum which is where its retreat center office and dining area are located After a short uphill walk about     steps you will find Caleruega or the Transfiguration Chapel Recognized as a dream wedding destination of soon to wed couples Calaruega Church is a prominent church wedding venue in Nasugbu Batangas This church wedding venue lies in an excellent altitude which makes this place placid Calaruega Church is gracing an authentic rural vibe in the proximity of a rising city Despite the various developments the vicinity of Calaruega is still identified to be a perfect venue for reflection and retreat Around a hunch of tranquility in the Transfiguration Chapel a breath taking view of Mt Batulao invites guests to take a look and unwind in a while The nature friendly visuals that the church owns make the place a sought after wedding destination for couples Into the reality that this wedding church venue is a bit pricey compared to other wedding churches but since this place falls on a perfect elevation and location closed to many wedding reception venues couples are given a benefit to holding a dream wedding courtesy of the southern jewels
Matabungkay Beach,Matabungkay Beach The town of Lian claim to fame is its Matabungkay Beach which is said to have been discovered by German tourists way back in the     s When I was a kid I remember going here in one summer vacation because it is near where we live in Cavite It is really one of the most popular beach destination near Metro Manila back in the      Today Matabungkay Beach is still one of the favorite weekend destinations among tourists because of its proximity from Metro Manila Matabungkay may sound ìold schoolî now but it became well known for a reason This strip along the coast of Lian has attracted tourists since the     s In its heyday it was one of the prettiest most easily accessible beaches from Manila Today of course a lot has changed Other beaches have been ìdiscoveredî over the years pushing Matabungkay to the back seat But although Matabungkay isnít as popular as the other Batangan beaches it remains a go to place for family outings and group excursions among local tourists The long stretch of ash colored sand is lined with resorts stores and houses But its most striking feature is the the dozens of iconic floating bamboo raft cottages Matabungkay a town situated along the idyllic coastal town of Lian in Batangas is a popular area for water sports such as swimming diving boating and snorkeling It has a   kilometre stretch of good beach and sand According to my parents back in the   ís it was THE place to be for family and company outings weekend getaways with friends and group excursions during its heyday Is it still worth visiting Hereís an honest review of Matabunkay Beach in Lian Batangas
The Marian Orchard,The Marian Orchard The Marian Orchard is a pilgrimage site located in Brgy Malabanan Balete Batangas This sprawling property is host to a chapel a huge rosary and several European inspired gardens and structures that will surely give every visitor a memorable visit If you plan to visit it during holy week they also have life size stations of the cross where you could do your Lenten reflection It is a spiritual sanctuary frequented by Marian devotees and pilgrims visiting the Province of Batangas It is open everyday from      am to      pm including holidays Last entry is at      PM and entrance fee is    pesos Holy masses are held every first Friday of the month Saturdays and Sundays at      PM Click here for more information and how to get there The Marian Orchard shall serve as a spiritual oasis that will promote the Roman Catholic religion through the propagation of Marian devotion and other religious activities that will inspire a renewal of FAITH The Marian Orchard is a pilgrimage site for prayer and reflection Marian Orchard is a well known Catholic pilgrimage site in Balete Batangas Its beauty will remind you of the European gardens you see in photos Before I went to the place I wasnít expecting much Only that there would be a lot of flowers and stuff Marian Orchard is a pilgrimage site for Roman Catholics that promotes the religion through the propagation of Marian devotion and other religious activities The place was started by Lazaro L Katigbak in      after he acquired the land In January      Lazaro and FAITH Colleges First Asia Institute of Technology and Humanities entered into a partnership Maybe thatís the reason of the large improvements that we saw from a couple of years ago visit
Masasa Beach in Tingloy,Masasa Beach in Tingloy The beaches in Batangas is one of the most popular Batangas tourist spots among local and foreign tourists The island municipality of Tingloy is known for Masasa Beach This stretch of pristine fine sand clear waters and impressive rock formations is a favorite beach destination among tourists and campers Here you could enjoy snorkeling island hopping to Sombrero Island and Sepoc Island beach camping hiking to Mag Asawang Bato to get a bird eyeview of the beach cliff diving from Tawil Rock and so much more Masasa Beach is a hidden gem in Tingloy Island with crystal clear waters perfect for your beach getaway The municipality of Tingloy occupies Maricaban Island making it the only municipality outside mainland Batangas Itís situated off the tip of the peninsula and sandwiched by Balayan Bay and Batangas Bay For a long time the isolated town has been off the radar until beachgoers heard the news about Masasa Beach a pristine stretch of fine sand and clear waters Today Masasa Beach is one of the most popular attractions in the province attracting thousands of tourists from Metro Manila and other parts of Luzon The well known Sombrero Island which is often associated with Anilao is actually part of Tingloy too Another beach destination in Tingloy is Oscar Beach sometimes called by the locals as Oscar Island All these pieces of tropical paradise make Tingloy one of the fastest rising tourist destinations in the country Until very recently Masasa Beach was a concealed gem stashed away from the watchful eye of weekend warriors from Manila But something this precious is hard to keep secret As soon as word got out tourists came in droves rattling what used to be a dormant town Masasa Beach is arguably the best beach in Tingloy the only municipality in Batangas that is not on mainland Luzon Its main island is the fish shaped Maricaban off the tip of Calumpang Peninsula separating Balayan Bay from Batangas Bay The truth is the sand here isnít as pearly white as what you would expect in Boracay or Palawan but what Masasa Beach lacks in the brightness of its sand it makes up for in the vibrance of waves Its crystal clear shallow waters give off a beautiful turquoise shimmer something that will catch your attention even from a great distance
Milea Bee Farm,Milea Bee Farm Another interesting Batangas tourist spot to visit is Milea Bee Farm Here you could immerse yourself in nature as you stroll around the farm where you will be able to have close encounters with bees taste fresh honey direct from the beehive and even pick organic vegetables yourself You may availa a Milea Bee Farm Tour which includes a guided tour inside the farm refreshments and snacks It an awesome activity for kids and the whole family Milea Bee Farm is a small farm dedicated to the propagation of bees Unlike farms that have been made to cater to tourists Milea has no restaurants no electricity and itís located in a secluded area with no neighbors If you wanna get as close as you can to nature this is your place Orchard and Milea Bee farm at Lipa City Batangas is a great experience in learning about bees and plants and flowers and fruits
Taal Volcano and Lake,Taal Volcano and Lake Taal volcano is one of the most beautiful volcanoes in the Philippines and also one of the most active and most popular Batangas tourist spots Located within a lake I have been to the volcano island to see the crater lake of the Taal Volcano But since it has it is been very active since last year going to the volcano island and hiking to the crater lake is now prohibited There are many hotels and resorts in Batangas where you could still enjoy the breathtaking view of the Taal Lake As the centerpiece of Taal Lake it is also described as an island Volcano Island within a lake Taal Lake within an island Luzon main island It is certainly scenic and just watching it from afar can be calming but donít underestimate its power Itís very very active and has the nastiest fiery mouth Before the      eruption the Volcano Island is accessible to tourists who wish to get to the edge of the crater and marvel at this small but mighty natureís wonder While you can admire it from Tagaytay you can go to Talisay to get closer to Taal Lake You donít need to check in to a ridge perched hotel to have a good look at the lake and volcano Several establishments like restaurants and shopping centers offer a magnificent view including the Twin Lakes complex which is actually located in Laurel Batangas even though it is often touted as a Tagaytay attraction One of the places offering day tour access is the Taal Lake Yacht Club Weíll talk more about Taal Lake Yacht Club later Being one of the most active volcanoes in the Philippines Taal Volcano still made it to the list of places to visit in Batangas It is popular both for local and foreign tourists People love going there not only because of its scenic view but they also want to do the activities that would bring them closer to the mountain In Taal Volcano you can go horseback riding boating across the volcano island and of course climbing to the crater of the lake The volcano is only     m       ft climbing it is not challenging at all Plus you can also swim at the lake but only for a limited time It is not so hard to understand why this active volcano is one of the tourist spots in Batangas Whatís difficult to understand is why are you still hesitating to go here Donít think too much go ahead and visit this gorgeous mountain
Cape Santiago Lighthouse,Cape Santiago Lighthouse Another must see tourist spot in Batangas is the century old Cape Santiago Lighthouse in Nasugbu Also known as Punta de Santiago or Faro de Punta Santiago or simply Calatagan Lighthouse Cape Santiago is an imposing    foot tall white and red brick lighthouse that was built in the late      to guide seafarers passing Verde Island passage San Bernardino Strait and the Manila Bay Click here for more information about Cape Santiago Lighthouse Aside from the beaches Calatagan is also famous for its Spanish era lighthouse the Cape Santiago Lighthouse located at the southern tip of the peninsula The Cape Santiago Lighthouse stands on top of a cliff by the shore Built in      it is one of the oldest lighthouses in the Philippines that continue to function The lighthouse provides spectacular view of the surrounding landscapes ó pristine beaches hills and the Calatagan Bay
The Old Grove Farmstead,The Old Grove Farmstead Located in Lipa City The Old Grove Farmstead is a   hectare property that offers a unique barn experience The farm has a cafe a swimming pool villas for overnight stay and a farmstead You can visit it on a day tour by just availing their meal package The lush greens and relaxing view along with so many Instagram worthy photo spots a visit to The Old Grove Farmstead in Lipa will surely be a memorable experience for couples group of friends kids and the whole family The biggest attraction would be the BIG RED BARN and the windmill These are the first two attractions that you will notice once you enter the OLD GROVE FARMSTEAD The Old Grove Farmstead is a   hectare private property that offers a unique experience to everyone The place will make you feel like you have visited The Netherlands Yes you can enjoy the feeling of a western countryside with a mix of an old town experience
Mt. Batulao and Mt. Talamitam,Mt Batulao and Mt Talamitam With its abundance of hiking destinations Batangas is a haven for hikers and nature lovers Two of the most popular mountains to hike are Mt Batulao and Mt Talamitan both in Nasugbu Batangas Featuring rolling hills as far as your eyes could see Mt Batulao is an easy hike ideal for new mountaineers After climbing Mt Batulao you may also consider climbing Mt Talamitam which is also relatively an easy climb You can actually do it on a day hike Mount Batulao is another famous peak thanks to its proximity to Manila This is one of the most scenic hiking destinations that are easily accessible just a bus ride away from the capital The jump off point KC Hillcrest Evercrest is located close to the border of Batangas and Cavite Much of the trail has easy slopes and the assaults are not too steep save for the ridgeline near the summit so Batulao is generally recommended for beginners What makes the hike challenging is its bareness with grasslands covering much of the surface During the summer months the hike might be difficult because of the lack of shade But the trail is punctuated by several rest spots You and your companions can book a private day hike tour through Klook if no one in your group knows how to drive The package is inclusive of the private hike round trip transportation between McDonaldís El Pueblo and Mount Batulao registration fee snacks and a guide Mountains are a truly magnificent work of nature They are art molded intricately into various shapes and sizes Each of them has a charm that is unique only to them Some are forbidding They have secrets no great mountaineer was able to unravel Others are inviting They open their worlds wholeheartedly to lost souls hoping to find refuge in their solace Mt Batulao is gladly the latter kind of mountain
Lobo,Lobo Not so popular tourist spot in Batangas Lobo has many surprises for visiting tourists Enjoy Lobo Batangas pebble beaches see the century old Malabrigo Lighthouse which a National Historical Landmark declared in      by the National Historical Commission and hike to Mt Banoi these are just some of the best things I enjoyed doing when we visited Lobo Batangas Not as popular compared to other tourist destinations in Batangas there are so many things to do in Lobo and tourist spots to visit such as Tulay na Busog Ulopong Falls Jaybanga Rice Terraces Nalayag Monolith to name a few If you are looking for unique beach destination n Batangas the municipality of Lobo is notable for its pebble beaches Instead of shores covered with fine sands most of the beaches in Lobo especially in Malabrigo are carpeted by smooth pebbles and stones This has been my familyís secret summer getaway because we like the less crowded beaches A few years ago it was quite challenging to travel to Lobo because some parts of the winding road were not yet cemented But today itís easier to reach either from Batangas City or from San Juan Despite the development itís still tamer and quieter compared to other more developed coastal towns in Batangas Most of its patrons seek the serenity more than anything As for me I like that I donít have to worry about the sand sticking to my hair or my swimwear Haha My family likes walking to the lighthouse in the morning when we visit for an overnight stay The Malabrigo Point Lighthouse Faro de Punta Malabrigo is a National Historical Landmark In the past we can freely explore inside and around the lighthouse but during our recent visit we can only admire the lighthouse from the outside We donít mind because it also serves as a viewpoint overlooking the sea and the surrounding areas A must visit sight while in Lobo the Lagadlarin Mangrove Forest lets you enjoy being one with nature Though the walk through the boardwalk may seem long and tiring youíll certainly enjoy the mangroves that inhabit the place
Fortune Island,Fortune Island Fortune Island is also a must visit beach in Batangas Located in the municipality of Nasugbu it is famous for its Greek inspired column ruins and statues from what looks like a private rest house or beach resort in Batangas that used to stand on this lovely island Must do activities includes beach bumming camping swimming snorkeling cam whoring star gazing A day or overnight trip to Fortune island is definitely one of the best things to do in Batangas that you should include in your itinerary Known for its ruins of Grecian pillars and statues which remind visitors of its glorious past Fortune Island was once a luxurious exclusive resort that closed its doors in      Today Fortune Island is open to the public Despite its luxurious past what draws tourists to the island is the rugged charm Go cliff jumping trek to the lighthouse take lots of photos do snorkeling and even go scuba diving Have fun under the sun while exploring the whole island If you are swimming there are two areas where you can swim ó the shallow but rough waters beach and the calm but deep waters cliff diving area If you are into diving some nearby diving sites are the Blue Holes the Wreck and Fortune NW If a day trip is not enough you may camp overnight on the island If so you can do stargazing and astrophotography To get to the island you must register pay the entrance fee and charter a boat at Fortune Island Resort on the mainland Bring your own food and water Bring your trash with you when you go back to the mainland Located off the coast of the town of Nasugbu in Batangas is Fortune Island a    hectare private property which is fast becoming a go to place for those aiming a quick island escapade specially for those living in Metro Manila and Southern Tagalog Fortune Island boasts of white sand beaches and rocky cliffs on the backdrop of its rich turquoise waters But the island s most prominent feature is the ruins of old columns and statues that aptly resemble the Parthenon of Greece These ruins are remnants of a resort in the late    s Today the ruins are the icons that provide unique character to the place icons that exude that Parthenon feels
Calatagan Beach Resorts,Calatagan Beach Resorts The Municipality of Calatagan is located at the western side of the province and offers the best sunsets for everyone to enjoy Having the longest coastline in the whole province of Batangas its shoreline is dotted by semi white sand beaches pristine clear waters and many lovely beach resorts Some of the most popular destinations in Calatagan are Burot Beach The Stilts Calatagan Lago de Oro Cable Ski Park Resort Manuel Uy Beach Ivory Beach Aquaria Water Park and Little Boracay of Batangas Calatagan is most popular for its beaches and dive sites This peninsular municipality is best known for its shores which are strewn with cream colored sand lapped up by shallow waters The beaches of Calatagan is lined with resorts that cater to different types of travelers and tourists Most of the resorts are concentrated in these areas Barangay Bagong Silang Barangay Santa Ana Barangay Uno Barangay Balibago and Balibago Quilitisan The Stilts Calatagan Beach Resort is on the high end side and is a popular events venue particularly weddings Aquaria Water Park attracts those who not only love aqua parks with slides but also beach front experience Manuel Uy Beach and Ivory Beach are rising beach camping destinations It also has sandbars that can be reached by renting a boat from one of the many resorts running along its shoreline Fortune Island is located Nasugbu in Batangas It used to be a private island harboring an exclusive luxury resort But it is difficult and costly to maintain a luxury resort without a ready source of fresh water One cannot drink luxury Consequently it ceased its operations in      One remarkable reminder of its grandeur stands atop the islandís limestone cliff overlooking the sea ñ an acropolis with Grecian pillars and statues
The Farm at San Benito,The Farm at San Benito ONe of the best things to do in Batangas is to experience the wellness packages offered by The Farm at San Benito Located in Lipa City it is one of the top health and wellness resort destinations in the Philippines They offer   star luxurious accommodation situated in a serene and relaxing environment to enable guests to rejuvenate the body and mind through their holistic wellness programs You may visit it on a day tour or book an overnight stay to fully enjoy its many facilities amenities and specially curated treatments and programs suited for your needs Whole day access to The Farm at San Benito includes use of the resort facilities swimming pools meditation pavilions and pure energy gym participation in daily movement and fitness activities yoga meditation power walks functional fitness and healthy vegan snack lunch Depending on the package you may choose to have    minute Relaxology or Relaxation Massage or    minute Colema When we think about Philippines we always think of the white sand beaches and the amazing tropical weather we have in the country but there is actually more to the Philippines The Farm at San Benito is a wellness resort in Lipa Batangas that has won numerous awards as one of the best spa resorts in the world Approximately   to   hours away from Manila depending on the traffic THE FARM at San Benito in Lipa Batangas is a wellness resort where you can relax refresh or just to get away from the busy lifestyle in the city The Farm at San Benitoóa proud member of CG Hospitality the hospitality arm of CG Corp Globalóis an eco luxury holistic medical wellness resort located in Lipa Batangas just a    minute drive south of Manila It rests on a    hectare lush green jungle with a stunning view of the majestic mountains fresh air with pristine and uplifting life giving energy radiating around the property The Farm has been honored with over    prestigious international awards including ìBest Medical Wellness Resort in the Worldî from SENSES Germany which made its mark as one of the leading medical wellness destinations in the Asia Pacific region
Mt. Maculot,Mt Maculot Mt Maculot is one of the very first mountains that I have climbed in Batangas Located in the town of Cuenca it is an easy hike ideal for day tour or overnight hiking experience It is one the of the most popular and probably the most scenic mountain in the province Well known for its Rockies Mt Maculot boasts breathtaking views of Taal Lake Taal Volcano and the rest of Batangas Mt Maculot     MASL is located in Cuenca Batangas famous destination for hikers at all levels With     difficulty level this mountain is perfect for a day hike adventure that offers an impressive view of Taal Lake Mt Maculot has three destinations   Rockies   Summit and   Grotto The most well known peak is the Rockies where most of the climbers head to Only few of the registered hiking population opt to traverse the mountain ñ reaching all three destinations
Bituin Cove,Bituin Cove Located in Nasugbu Bituin Cove locally known as Angara Cove is one of the hidden gems and a popular tourist spot in Batangas A popular beach in Batangas it is one of the unspoiled beaches and is a perfect place to visit for beach lovers and adventure seekers Here you could go island hopping cliff diving and fish feeding all in one day for an exciting fun filled beach getaway The shore is lined with trees and the underwater scene is never lacking Thereís a manmade breakwater the remnants of what used to be a helipad and a rundown dock or diving platform Apart from one or two small stalls an open cottage a rusty container van and a simple white rest house thereís nothing for lodging but the ground to pitch your tent This is slowly becoming popular among those who like the outdoors and roughing it out by camping The Bituin Cove popularly known locally as Angara Beach Resort is part of the beautiful town of Nasugbo in Batangas It one of the unspoiled beaches in the town which is perfect for beach lovers and adventure seekers This beach is     hours away from Metro Manila
Aquaria Waterpark,Aquaria Waterpark Aquaria Water Park in Calatagan Batangas is an awesome resort where you could go for an exciting tropical getaway and enjoy water fun and adventure near Metro Manila You can have an all day access to the resort giant slide and cove pools perfect for kids and adults Visiting this waterpark you could feel relaxed and experience luxury at its best with its     hectare world class leisure property offering different fun activities You could also enjoy and bask in the sun while enjoying the fine beach stretch with the most stunning views of the sea If you want to stay overnight the Crusoe Cabins is the ideal seafront beach resort accommodation for you to stay at Aquaria Water Park attracts those who not only love aqua parks with slidesLocated in Barangay Sta Ana in the municipality of Calatagan Aquaria Water Park is part of Calatagan South Beach CaSoBe a vast seaside residential and resort community that is continually being developed by Landco It is a full service resort with rooms cabanas and three dining places It also has swimming pools with varying depths and features a thrilling water slide Although it bears ìwater parkî in its name donít expect a great variety in the slides Think of it as a more exciting family resort
Mount Banahaw,Mount Banahaw With an impressive height of       feet above sea level Mt Banahaw is the highest mountain in the CALABARZON region It is also one of the region last ecological frontiers home to critically endangered flora and fauna species Mt Banahaw covers an area of more than        hectares that consist mainly of secondary forests on the lower slopes Enchanting mossy forests however dominate the upper elevations When exploring the mountain you will find numerous waterfalls crystal clear streams caves rock formations and shrines Since      however the local authorities closed Mt Banahaw for regeneration purposes Mount Banahaw is an active volcano in Quezon Province which is popular among local pilgrims and mountain climbers It is the highest peak in CALABARZON Region with an elevation of       feet above the ground covering        hectares of land It is being dubbed as the ìHoly Mountainî by the locals since the divine spirits are believed to be present in the mountain There are locations marked as ìholy sitesî by local residents like springs rock formations caves peaks streams where shrines are erected and visitors lit a candle and cast their prayers NOTE Mount Banahaw is still close for climbing since it closed on August      Mt Banahaw is the grandest of the Southern Tagalog mountains Towering high over the provinces of Laguna and Quezon its significance in religion and folklore makes it not only a physical but also a cultural landmark It is home to Rizalistas and other cults some of whom believe the mountain as the ìNew Jerusalemî To a wider populace it is a sacred mountain visited every Holy Week by devotees some of whom made it a pledge to regularly climb Banahaw
Balagbag Falls,Balagbag Falls is one of the emerging tourist spots in Quezon province especially for adventurers and nature lovers It is a multi tier waterfall surrounded by lush vegetation It also very much accessible some   minutes of walk from the parking area The first layer has a deep pool fit for swimming You can climb on one of the cliffs and jump towards the poolBalagbag Falls is a two tiered waterfall in Real Quezon Due to its deep plunge pool it is also widely known for the cliff jumping experience The first level is roughly five meters high and has a deep catch basin while the second level is about    meters high with its water falling into a shallow pool River Rafting in Real Quezon is one of the few adventures that you can do in any weather Outdoor trips are usually less fun with rain But Real Quezon River Rafting is a lot more fun during the rainy season This is because the rapids become more thrilling and the waterfalls are more exciting When I heard that Real Quezon has already re opened River Rafting since the lockdown
Quezon National Park,Quezon National Park hosts one of the few remaining natural ecosystems in Quezon It is home to a variety of flora and fauna species some of which are critically endangered Many of the species here are found nowhere else in the world making it a botanical paradise Trekking to the deep forests will lead you to enchanting caves and scenic peaks Sadly deforestation for commercial purposes is slowly ravaging what remains of the park Find yourself in a virgin forest teeming with numerous forms of wildlife like monkeys deer wild pigs and monitor lizards Feast your eyes upon the fascinating varieties of flora and be enthralled by the sound of birds like parrots tarictic calao doves pigeons and jungle fowls Add to these a refreshing soothing climate and you have a good description of the wonders offered by QUEZON NATIONAL PARK Just     km southeast of Manila in Altimonan Quezon Province lies one of the most beautiful mountains in southern Luzon that has been declared a Game Refuge and Bird Sanctuary The present area of the park is     hectares   sq miles with its highest point at     m above sea level Quezon National Park is a unique location in the Philippines where one can fully appreciate the grandeur of nature as it features a wide variety of landscape and terrain that serve as homes to an amazing assortment of plants and animals some of which cannot be found elsewhere in the world Quezon National Park has an area of about           hectares It has an intricate system of caves waterfalls springs creeks gorges and ravines against a quaint backdrop of lush greenery Local folks say that the park is full of flora and fauna from butterflies to birds and monkeys tugging along their young while crossing the street Trees are so tall and huge that the zigzag road is relatively dark
Mount Mirador,Mount Mirador PerezMount Mirador is the highest peak in Quezon National Forest Park With a height of      feet above sea level Mt Mirador offers a memorable hiking experience Pristine forests cover most of the mountain and there are also massive limestone rock formations to see It is one of the rising tourist spots in Quezon province Mount Panay Mirador de Torre and Gulugod Trail is a     kilometer out and back trail located near Mabini Batangas Philippines that offers the chance to see wildlife and is rated as moderate The trail is primarily used for hiking walking and nature trips This park which is nestled in the famed Sierra Madre Mountain Range accessible by a scenic zigzag road that cuts through the forests Built during the American period the Forest Park is one of the oldest protected areas in the Philippines
Salibungot Beach,Salibungot Beach If you are done chasing white beaches why not check out Salibungot Beach for an unusual escapade The beach here has golden sands complementing the crystal blue waters It will surely thrill you running on the powdery sands as you relish the sea breeze and the lush pine forests Both locals and tourists love coming here to catch a breathtaking view of the sunset You can also camp here for the night to make up the most of your rustic adventure Location Jump off Jomalig IslandBoating Time     hoursSalibungot beach is one of Jomalig Island hidden gem due to its rich golden color Upon arriving at the island you will see its intense golden color and no doubt you will easily fall in love with the place The beach is super clear and cold even on a scorching afternoon Time passes unnoticed in Salibungot Beach where watching the sunset listening to the sound of the waves and enjoying the water are simple pleasures that await Here life is quaint yet joyful There may not be an easy way of going here but seeing its unique beauty and experiencing its unique charm make the strenuous journey truly worth it
Kanaway Beach,Kanaway Beach Beach also lies within Jomalig Island and is one of the off beaten tourist spots in Quezon province Just like Salibungot Beach it also has golden sands that stretch for as much as     meters There are also two islets nearby you can explore If you Äôre into less touristy destinations then Kanaway Beach should make up to your bucket list Location Jump off Jomalig Island Facing the edge of the Pacific Ocean lies a vast golden sand beach only known to a few Schadow  Expeditions was lucky enough to be there to discover one of the hidden paradise of eastern Luzon About a hundred kilometers away from the shores of northern Quezon province lies an island gifted with golden sands the Kanaway Beach The Kanaway beach is located at Sitio Petisan of Barangay Apad the easternmost side of Jomalig island that is facing the edge of Pacific Ocean just beside the Kanaway River The beach is composed of vast golden sands stretching to about     meters from the shore with nearby islets that are accessible by foot during low tide or a short wade or swim on high tide The sand has natural ripple formations which is a captivating sight to behold The golden sand feature is due to the corals abundant near its shores called Acropora caroliniana The beach is protected by corals and stone formations about     meters away from the shore which blocks strong waves from the Pacific Ocean Located in Jomalig Island Kanaway Beach is a great destination for all beachgoers There are several amenities at Kanaway Beach including dogs allowed free parking and street parking If you re a fan of beach activities Kanaway Beach has you covered with fishing and swimming There are also food vendors in the area when you feel like a snack
Dampalitan Island,Dampalitan Island Although it has it is popularly promoted as an island it is a beach on a small peninsula of mainland Quezon province It has powdery white sands similar to those found in Boracay Island There are also pine forests lining the beach and you can just lean on one of these and relax the whole day There are cottages available if you plan to have an overnight stay Location Jump off Padre BurgosBoating Time    minutes from Borawan Beach Dampalitan is one of the three most popular islands dotting the northern fringes of Tayabas Bay But unlike the other two Pagbilao Grande and Pagbilao Chica Islands it is part of Padre Burgos the usual jump off point Of the three beaches that are part of the common tours Dampalitan has the widest bed of off white sand making it an ideal choice for overnight camping Borawan Beach and Puting Buhangin are narrow strips that can easily get overcrowded especially during peak season Agoho trees a type of casuarina rises from the sand fostering an atmosphere similar to but less overwhelming than Anawangin or Nagsasa Cove in Zambales There were a few little stores around and some locals but other than that it was quite secluded We took a walk around the southern side of the ìislandî and found some interesting rock formations which were exposed at low tide Further around there were several hundred metres of totally uninhabited white sand beach As I stood in awe beer in hand I remember thinking to myself that it never ceases to amaze me that for a country of over one hundred million people a beach that is relatively close to Metro Manila can be so vacant Dampalitan Island isnít really an island ñ it is more like a small peninsula in Quezon province This was our last stop of the day after Puting Buhangin and Borawan and by the time we reached Dampalitan it was already late in the afternoon As we were approaching even from kilometres away you could really notice the white sand glowing on the horizon an amazing sight
Cagbalete Island,Cagbalete Island covers more than      hectares and on its coasts you will find several beaches with powdery white sands During low tide a beautiful sandbar forms The island is also known for its rich and thriving marine biodiversity Among the activities you can do here are horseback riding bird watching island hopping and snorkeling For an overnight stay there are a few accommodations available But if I were you I would choose camping on the beach to enjoy nature at its finest Location Jump off Lamon Bay MaubanBoating Time one hour from Mauban town Cagbalete Island is a       hectares island in Quezon Province popular among the local beach enthusiasts and foreign tourists It is noted for its miles long stretch of white sand beach and vast expanse of sandbar from the shoreline especially during low tide The long beach front of the island is also lined up with many resorts There many things to do here aside from swimming and snorkeling it is also a good place for beach volleyball Frisbee and skim boarding Enjoy kayaking or rent a boat to explore the island Quezon is blessed with many beautiful beaches within reach from Manila and nearby cities One of them is Cagbalete Island Located in Mauban this stunning destination has a golden shore clear mirror like waters diverse wildlife and a grove of agoho trees The surroundings are picture perfect and relaxing From Manila get on a bus bound for Lucena the fare is around P    Once at the Grand Terminal board a van or bus going to Mauban for about P   From Mauban you can walk to the port and get on a public boat to Cagbalete for P   
Alitap Falls,Alitap Falls OutTucked in the remote highlands Alitap Falls is one of the off beaten Quezon destinations It has several layers each with unique features to offer The main waterfall measures around    meters high and cascades on a scenic cliff amid green foliage To get here expect to walk on slippery trails cross rivers and navigate on jungles But surely the mesmerizing views of the waterfalls will make up for you to experience an adventure of a lifetime The seven tiered Alitap Falls is located in Barangay Alitap a remote village of Mauban Going here is not as easy as going to Dahoyhoy or Hagdan hagdan falls as it involves boat ride motorbike or habal habal ride and river trekking which becomes dangerous or impossible after the rain The rare images of Alitap Falls online are beckoning Sad to say though we werenít able to reach even the first falls during our visit due to high water and strong stream current brought by rain If in any consolation we found Ligaw Falls a small cascades from the spring at the upper slopes of the village accessible by smaller trails from the river One of the remarkable experiences of going to Alitap Falls is the fifteen minute habal habal ride to the jump off passing small streets narrow bridges rice fields and human trails Prepare to be amazed with the ride and with the skill of your driver From the jump off the trek involves river crossings and trekking upstream to the first level and onward to the seventh It usually takes only half an hour from the jump off to the first waterfalls the second is located exactly on top of the first Trekking up to the seventh falls requires around two hours or so
